Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
OCSVM,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.26325683593750016,-6.090000000000001,0,1391,19,190,1882
OCSVM,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.26325683593750016,0.7358683338115775,1,1783,1,238,2380
OCSVM,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.26325683593750016,0.0,0,3428,0,0,4032
OCSVM,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.26325683593750016,-3.8193859141291373,15,13653,7,1417,15842
OCSVM,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.26325683593750016,-7.21,0,13566,11,1526,15853
OCSVM,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.26325683593750016,-1.2572000788858815,9,5790,1,717,7267
OCSVM,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.26325683593750016,3.3534497713128344,46,13520,0,1542,15858
OCSVM,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.26325683593750016,1.5562719618862,14,3025,1,388,4032
OCSVM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.26325683593750016,0.0,0,3428,0,0,4032
OCSVM,reward_low_FN_rate,realTraffic/speed_6005.csv,0.26325683593750016,0.5982597726945763,8,1884,2,231,2500
OCSVM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.26325683593750016,-1.1648196773704402,5,3026,0,397,4032
OCSVM,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.26325683593750016,-1.9953122017128848,30,13526,5,1555,15866
OCSVM,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.26325683593750016,0.0,0,3428,0,0,4032
OCSVM,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.26325683593750016,-1.154253913469656,3,3547,0,471,4730
OCSVM,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.26325683593750016,-1.1265855756115903,17,1871,0,233,2495
OCSVM,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.26325683593750016,-0.7013146092658076,25,13531,22,1565,15893
OCSVM,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.26325683593750016,-1.7984491979244024,7,3020,6,395,4032
OCSVM,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.26325683593750016,1.721375707475627,16,13501,0,1566,15833
OCSVM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.26325683593750016,0.9565378402835625,36,3085,0,307,4032
OCSVM,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.26325683593750016,-3.684188506587528,3,3017,6,402,4032
OCSVM,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.26325683593750016,-5.131763212438341,14,1233,0,150,1643
OCSVM,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.26325683593750016,-0.2758619285869559,31,3463,0,434,4621
OCSVM,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.26325683593750016,-2.0,0,3025,0,403,4032
OCSVM,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.26325683593750016,-9.870000000000001,0,13484,17,1580,15831
OCSVM,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.26325683593750016,1.473903051943403,27,13503,11,1560,15851
OCSVM,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.26325683593750016,-5.337997346748892,27,19674,3,2241,22695
OCSVM,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.26325683593750016,-3.3084817526803643,7,1155,0,146,1538
OCSVM,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.26325683593750016,0.8571268814503882,10,3025,0,393,4032
OCSVM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.26325683593750016,-3.1428598512200585,11,3023,0,394,4032
OCSVM,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.26325683593750016,0.8589086704377245,28,3025,0,375,4032
OCSVM,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.26325683593750016,-2.0,0,1218,0,163,1624
OCSVM,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.26325683593750016,0.8477724629535666,2,1155,0,151,1538
OCSVM,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.26325683593750016,-3.980000000000001,0,15783,18,1499,18050
OCSVM,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.26325683593750016,-2.0,0,3025,0,403,4032
OCSVM,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.26325683593750016,-4.670872409814389,3,1866,10,246,2500
OCSVM,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.26325683593750016,-5.430000000000001,0,918,13,126,1243
OCSVM,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.26325683593750016,0.0,0,3428,0,0,4032
OCSVM,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.26325683593750016,-1.6006639418040436,12,1220,12,153,1643
OCSVM,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.26325683593750016,-0.6173768238686181,34,13553,11,1554,15902
OCSVM,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.26325683593750016,0.0,0,3428,0,0,4032
OCSVM,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.26325683593750016,-1.4684491979244023,8,3023,3,394,4032
OCSVM,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.26325683593750016,-2.0,0,1621,0,217,2162
OCSVM,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.26325683593750016,-1.0742700821773736,13,3075,7,333,4032
OCSVM,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.26325683593750016,-0.143964049301878,8,3016,9,395,4032
OCSVM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.26325683593750016,0.8718917202010098,5,3025,1,397,4032
OCSVM,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.26325683593750016,-7.345455356920193,7,8533,2,1028,10320
OCSVM,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.26325683593750016,0.8559946770881904,2,3548,0,471,4730
OCSVM,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.26325683593750016,-1.972812598814634,6,1211,8,156,1624
OCSVM,reward_low_FN_rate,realTraffic/speed_7578.csv,0.26325683593750016,0.061435953742662974,27,837,5,89,1127
OCSVM,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.26325683593750016,0.8624165001898849,19,3025,0,384,4032
OCSVM,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.26325683593750016,-4.88,0,4027,8,530,5315
OCSVM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.26325683593750016,0.9841553653673794,1,3025,0,402,4032
OCSVM,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.26325683593750016,0.0,0,3428,0,0,4032
OCSVM,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.26325683593750016,-1.1373892398857994,12,1875,0,238,2500
OCSVM,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.26325683593750016,-1.5055610919736737,15,13548,11,1578,15902
OCSVM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.26325683593750016,0.8606718242697022,15,3025,0,388,4032
OCSVM,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.26325683593750016,1.0740137143733273,19,3022,4,383,4032
OCSVM,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.26325683593750016,0.16329777929351774,6,3018,7,397,4032
Totals,,,,-82.20193657034184,604,299106,241,32891,365558
