Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
OCSVM,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,0.9679931640625005,-2.88,0,1406,4,190,1882
OCSVM,reward_low_FP_rate,realTraffic/occupancy_6005.csv,0.9679931640625005,-1.0,0,1784,0,239,2380
OCSVM,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.9679931640625005,0.0,0,3428,0,0,4032
OCSVM,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,0.9679931640625005,-2.1489096247109,5,13655,5,1427,15842
OCSVM,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,0.9679931640625005,-2.6458789598100716,5,13570,7,1521,15853
OCSVM,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.9679931640625005,-2.44,0,5789,2,726,7267
OCSVM,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,0.9679931640625005,-2.0151012968064173,5,13520,0,1583,15858
OCSVM,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.9679931640625005,-2.22,0,3025,1,402,4032
OCSVM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.9679931640625005,0.0,0,3428,0,0,4032
OCSVM,reward_low_FP_rate,realTraffic/speed_6005.csv,0.9679931640625005,-0.050940571151319114,1,1882,4,238,2500
OCSVM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.9679931640625005,-2.0,0,3026,0,402,4032
OCSVM,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,0.9679931640625005,-2.3781808729359533,10,13526,5,1575,15866
OCSVM,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.9679931640625005,0.0,0,3428,0,0,4032
OCSVM,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.9679931640625005,-2.0,0,3547,0,474,4730
OCSVM,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.9679931640625005,-0.13738923988579954,6,1871,0,244,2495
OCSVM,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,0.9679931640625005,-0.35976114295339323,5,13552,1,1585,15893
OCSVM,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.9679931640625005,-0.14198431716872828,5,3026,0,397,4032
OCSVM,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,0.9679931640625005,1.7204774153906153,7,13501,0,1575,15833
OCSVM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.9679931640625005,0.9557243133869362,9,3085,0,334,4032
OCSVM,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.9679931640625005,-2.124243205654938,3,3018,5,402,4032
OCSVM,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,0.9679931640625005,-4.0,0,1233,0,164,1643
OCSVM,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.9679931640625005,-1.1520671240661442,4,3463,0,461,4621
OCSVM,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.9679931640625005,-1.0,0,3025,0,403,4032
OCSVM,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,0.9679931640625005,-0.27862083155881123,7,13501,0,1573,15831
OCSVM,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,0.9679931640625005,0.17166286009024212,10,13511,3,1577,15851
OCSVM,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,0.9679931640625005,-4.0,0,19677,0,2268,22695
OCSVM,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,0.9679931640625005,-1.162453402621769,1,1155,0,152,1538
OCSVM,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.9679931640625005,-1.0,0,3025,0,403,4032
OCSVM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.9679931640625005,-1.1428598512200585,6,3023,0,399,4032
OCSVM,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.9679931640625005,0.9964238353129425,2,3025,0,401,4032
OCSVM,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,0.9679931640625005,-1.0,0,1218,0,163,1624
OCSVM,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.9679931640625005,0.862098587352162,4,1155,0,149,1538
OCSVM,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.9679931640625005,-1.22,0,15800,1,1499,18050
OCSVM,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.9679931640625005,-1.0,0,3025,0,403,4032
OCSVM,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.9679931640625005,-3.66,0,1873,3,249,2500
OCSVM,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.9679931640625005,-2.0,0,931,0,126,1243
OCSVM,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.9679931640625005,0.0,0,3428,0,0,4032
OCSVM,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.9679931640625005,-1.1467927900161192,3,1232,0,162,1643
OCSVM,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.9679931640625005,-2.139314922690807,5,13564,0,1583,15902
OCSVM,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.9679931640625005,0.0,0,3428,0,0,4032
OCSVM,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.9679931640625005,-0.14198431716872828,4,3026,0,398,4032
OCSVM,reward_low_FP_rate,realTraffic/TravelTime_451.csv,0.9679931640625005,-1.0,0,1621,0,217,2162
OCSVM,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.9679931640625005,-1.1428598512200585,3,3082,0,343,4032
OCSVM,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.9679931640625005,0.8589086704377245,6,3025,0,397,4032
OCSVM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.9679931640625005,-2.0,0,3026,0,402,4032
OCSVM,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.9679931640625005,-5.22,0,8534,1,1035,10320
OCSVM,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.9679931640625005,-1.0,0,3548,0,473,4730
OCSVM,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,0.9679931640625005,-2.0,0,1219,0,162,1624
OCSVM,reward_low_FP_rate,realTraffic/speed_7578.csv,0.9679931640625005,-4.0,0,842,0,116,1127
OCSVM,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.9679931640625005,0.8624165001898849,8,3025,0,395,4032
OCSVM,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,0.9679931640625005,-2.0,0,4035,0,530,5315
OCSVM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.9679931640625005,0.9865693881369223,8,3025,0,395,4032
OCSVM,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,0.9679931640625005,0.0,0,3428,0,0,4032
OCSVM,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.9679931640625005,-0.14307384627329267,4,1875,0,246,2500
OCSVM,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,0.9679931640625005,0.7195824617003694,7,13559,0,1586,15902
OCSVM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.9679931640625005,0.8589086704377245,4,3025,0,399,4032
OCSVM,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.9679931640625005,-2.0,0,3026,0,402,4032
OCSVM,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.9679931640625005,-1.0,0,3025,0,403,4032
Totals,,,,-63.09964346547778,147,299305,42,33348,365558
