Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
OCSVM,standard,realKnownCause/rogue_agent_key_hold.csv,0.9998535156250006,-5.267400232622022,3,1370,40,187,1882
OCSVM,standard,realTraffic/occupancy_6005.csv,0.9998535156250006,-11.697753388063123,54,1663,121,185,2380
OCSVM,standard,artificialNoAnomaly/art_daily_no_noise.csv,0.9998535156250006,-121.43999999999943,0,2324,1104,0,4032
OCSVM,standard,realTweets/Twitter_volume_GOOG.csv,0.9998535156250006,-3.0,0,13660,0,1432,15842
OCSVM,standard,realTweets/Twitter_volume_CVS.csv,0.9998535156250006,-556.5152471457385,519,8298,5279,1007,15853
OCSVM,standard,realKnownCause/ambient_temperature_system_failure.csv,0.9998535156250006,-259.70579250714525,321,3339,2452,405,7267
OCSVM,standard,realTweets/Twitter_volume_PFE.csv,0.9998535156250006,-529.4610106990344,567,8538,4982,1021,15858
OCSVM,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,0.9998535156250006,-2.0,0,3026,0,402,4032
OCSVM,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.9998535156250006,-13.199999999999983,0,3308,120,0,4032
OCSVM,standard,realTraffic/speed_6005.csv,0.9998535156250006,-1.0,0,1886,0,239,2500
OCSVM,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.9998535156250006,-9.615717077715829,30,2916,110,372,4032
OCSVM,standard,realTweets/Twitter_volume_UPS.csv,0.9998535156250006,-351.9080143099125,368,10202,3329,1217,15866
OCSVM,standard,artificialNoAnomaly/art_noisy.csv,0.9998535156250006,0.0,0,3428,0,0,4032
OCSVM,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.9998535156250006,-2.0,0,3547,0,474,4730
OCSVM,standard,realTraffic/speed_t4013.csv,0.9998535156250006,-2.0,0,1871,0,250,2495
OCSVM,standard,realTweets/Twitter_volume_IBM.csv,0.9998535156250006,-130.70901276464042,157,12301,1252,1433,15893
OCSVM,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.9998535156250006,-125.1843974448083,193,1828,1198,209,4032
OCSVM,standard,realTweets/Twitter_volume_FB.csv,0.9998535156250006,-2.0,0,13501,0,1582,15833
OCSVM,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.9998535156250006,-34.799588073363125,26,2727,358,317,4032
OCSVM,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.9998535156250006,-54.02574576787168,51,2511,512,354,4032
OCSVM,standard,realAdExchange/exchange-4_cpm_results.csv,0.9998535156250006,-27.87674616202072,69,927,306,95,1643
OCSVM,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.9998535156250006,-82.83506086247544,146,2654,809,319,4621
OCSVM,standard,artificialWithAnomaly/art_daily_nojump.csv,0.9998535156250006,-69.79964274690491,88,2349,676,315,4032
OCSVM,standard,realTweets/Twitter_volume_AMZN.csv,0.9998535156250006,-4.0,0,13501,0,1580,15831
OCSVM,standard,realTweets/Twitter_volume_KO.csv,0.9998535156250006,-3.0,0,13514,0,1587,15851
OCSVM,standard,realKnownCause/machine_temperature_system_failure.csv,0.9998535156250006,-1107.2616388388335,1239,9256,10421,1029,22695
OCSVM,standard,realAdExchange/exchange-3_cpc_results.csv,0.9998535156250006,1.622506374309505,41,1145,10,112,1538
OCSVM,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,0.9998535156250006,-71.1846040899071,56,2334,691,347,4032
OCSVM,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.9998535156250006,-93.06800227022939,192,2121,902,213,4032
OCSVM,standard,artificialWithAnomaly/art_daily_jumpsup.csv,0.9998535156250006,-70.32646933054409,81,2344,681,322,4032
OCSVM,standard,realAdExchange/exchange-2_cpc_results.csv,0.9998535156250006,-1.0,0,1218,0,163,1624
OCSVM,standard,realAdExchange/exchange-3_cpm_results.csv,0.9998535156250006,-30.992542064664438,28,854,301,125,1538
OCSVM,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.9998535156250006,-195.91110956107613,54,14011,1790,1445,18050
OCSVM,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.9998535156250006,-75.39660984703215,48,2300,725,355,4032
OCSVM,standard,realTraffic/TravelTime_387.csv,0.9998535156250006,-3.0,0,1876,0,249,2500
OCSVM,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.9998535156250006,-2.0,0,931,0,126,1243
OCSVM,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.9998535156250006,-97.67999999999955,0,2540,888,0,4032
OCSVM,standard,realAdExchange/exchange-4_cpc_results.csv,0.9998535156250006,-4.1056332388114205,35,1188,44,130,1643
OCSVM,standard,realTweets/Twitter_volume_AAPL.csv,0.9998535156250006,-4.0,0,13564,0,1588,15902
OCSVM,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.9998535156250006,-83.48999999999963,0,2669,759,0,4032
OCSVM,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.9998535156250006,-121.71846238109339,167,1851,1175,235,4032
OCSVM,standard,realTraffic/TravelTime_451.csv,0.9998535156250006,-1.0,0,1621,0,217,2162
OCSVM,standard,realKnownCause/ec2_request_latency_system_failure.csv,0.9998535156250006,-20.138171332895322,37,2891,191,309,4032
OCSVM,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.9998535156250006,-1.0,0,3025,0,403,4032
OCSVM,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.9998535156250006,-9.727403136884693,45,2917,109,357,4032
OCSVM,standard,realKnownCause/nyc_taxi.csv,0.9998535156250006,-5.0,0,8535,0,1035,10320
OCSVM,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.9998535156250006,-73.41020018655986,76,2843,705,397,4730
OCSVM,standard,realAdExchange/exchange-2_cpm_results.csv,0.9998535156250006,-7.739111898157131,13,1139,80,149,1624
OCSVM,standard,realTraffic/speed_7578.csv,0.9998535156250006,-4.0,0,842,0,116,1127
OCSVM,standard,artificialWithAnomaly/art_increase_spike_density.csv,0.9998535156250006,-50.765429625250015,76,2536,489,327,4032
OCSVM,standard,realKnownCause/rogue_agent_key_updown.csv,0.9998535156250006,-70.9479557418939,115,3360,675,415,5315
OCSVM,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.9998535156250006,-53.520935352666356,137,2495,530,266,4032
OCSVM,standard,artificialNoAnomaly/art_flatline.csv,0.9998535156250006,0.0,0,3428,0,0,4032
OCSVM,standard,realTraffic/occupancy_t4013.csv,0.9998535156250006,-6.3999999999999995,0,1835,40,250,2500
OCSVM,standard,realTweets/Twitter_volume_CRM.csv,0.9998535156250006,-279.03132404916073,160,10968,2591,1433,15902
OCSVM,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.9998535156250006,-17.42904317353084,62,2827,198,341,4032
OCSVM,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.9998535156250006,-46.71449189604496,17,2593,433,385,4032
OCSVM,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,0.9998535156250006,-48.02109518122758,120,2563,462,283,4032
Totals,,,,-5057.398856004468,5391,251809,47538,28104,365558
