Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numenta,standard,artificialNoAnomaly/art_daily_small_noise.csv,0.5126953125,-0.22,0,3426,2,0,4032
numenta,standard,realTweets/Twitter_volume_FB.csv,0.5126953125,1.5004822217234075,3,13499,2,1579,15833
numenta,standard,realAdExchange/exchange-4_cpc_results.csv,0.5126953125,0.6222606935851243,3,1231,1,162,1643
numenta,standard,realTraffic/occupancy_6005.csv,0.5126953125,0.8612724903753929,2,1784,0,237,2380
numenta,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.5126953125,0.5568429097880054,6,3021,2,399,4032
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.5126953125,0.8757274094930131,3,3025,0,400,4032
numenta,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.5126953125,-2.11,0,930,1,126,1243
numenta,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.5126953125,-0.5732010331259805,23,15787,14,1476,18050
numenta,standard,realAdExchange/exchange-2_cpc_results.csv,0.5126953125,-1.33,0,1215,3,163,1624
numenta,standard,realTraffic/occupancy_t4013.csv,0.5126953125,1.6260251845026101,4,1874,1,246,2500
numenta,standard,realTraffic/speed_6005.csv,0.5126953125,0.40262200175593826,4,1882,4,235,2500
numenta,standard,artificialNoAnomaly/art_noisy.csv,0.5126953125,0.0,0,3428,0,0,4032
numenta,standard,realTraffic/TravelTime_451.csv,0.5126953125,0.5600995682442989,1,1621,0,216,2162
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.5126953125,1.4145319144793997,4,3024,2,398,4032
numenta,standard,realTweets/Twitter_volume_GOOG.csv,0.5126953125,-0.2601961746978674,9,13650,10,1423,15842
numenta,standard,realTweets/Twitter_volume_IBM.csv,0.5126953125,-0.5441114437191692,5,13531,22,1585,15893
numenta,standard,realTraffic/speed_t4013.csv,0.5126953125,1.9846249146536796,7,1871,0,243,2495
numenta,standard,realTweets/Twitter_volume_CRM.csv,0.5126953125,0.723575559502073,5,13559,0,1588,15902
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.5126953125,0.7396346345610598,2,3023,0,403,4032
numenta,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.5126953125,0.8465378402835625,8,3084,1,335,4032
numenta,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,0.5126953125,0.8606718242697022,4,3025,0,399,4032
numenta,standard,realAWSCloudwatch/grok_asg_anomaly.csv,0.5126953125,2.0010701406419393,8,3455,8,457,4621
numenta,standard,realKnownCause/ambient_temperature_system_failure.csv,0.5126953125,1.206227089593871,4,5786,5,722,7267
numenta,standard,realTweets/Twitter_volume_AAPL.csv,0.5126953125,1.263897914863072,11,13558,6,1577,15902
numenta,standard,realTweets/Twitter_volume_UPS.csv,0.5126953125,1.829071104053865,18,13525,6,1567,15866
numenta,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,0.5126953125,0.6389086704377245,4,3023,2,399,4032
numenta,standard,realKnownCause/rogue_agent_key_updown.csv,0.5126953125,-1.295759828138035,1,4028,7,529,5315
numenta,standard,realAdExchange/exchange-2_cpm_results.csv,0.5126953125,1.508243306042216,3,1217,2,159,1624
