Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
numentaWithoutSpatial,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.4769535064697267,-0.33,0,3425,3,0,4032
numentaWithoutSpatial,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.4769535064697267,0.8458683338115774,2,1784,0,237,2380
numentaWithoutSpatial,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.4769535064697267,-4.11,0,930,1,126,1243
numentaWithoutSpatial,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.4769535064697267,0.8880738825467036,9,8529,6,1026,10320
numentaWithoutSpatial,reward_low_FN_rate,realTraffic/speed_6005.csv,0.4769535064697267,0.17931871593634963,3,1880,6,236,2500
numentaWithoutSpatial,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.4769535064697267,1.400340578115117,3,1872,3,247,2500
numentaWithoutSpatial,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.4769535064697267,-2.1137010238500262,1,1408,2,189,1882
numentaWithoutSpatial,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.4769535064697267,0.5681591344610931,2,1621,0,215,2162
numentaWithoutSpatial,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.4769535064697267,0.42067182426970223,1,3021,4,402,4032
numentaWithoutSpatial,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.4769535064697267,1.7160313656625434,3,3026,0,399,4032
numentaWithoutSpatial,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.4769535064697267,-2.1857598281380346,1,4029,6,529,5315
numentaWithoutSpatial,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.4769535064697267,0.8145440937195406,2,3547,1,471,4730
numentaWithoutSpatial,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.4769535064697267,-1.4297135204905227,2,3544,3,472,4730
numentaWithoutSpatial,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.4769535064697267,1.4995839296383957,2,13499,2,1580,15833
numentaWithoutSpatial,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.4769535064697267,0.8757274094930131,1,3025,0,402,4032
numentaWithoutSpatial,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.4769535064697267,1.5914369561317372,2,3025,1,400,4032
numentaWithoutSpatial,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.4769535064697267,-2.33,0,1215,3,163,1624
numentaWithoutSpatial,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.4769535064697267,1.2760313656625435,2,3022,4,400,4032
numentaWithoutSpatial,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.4769535064697267,-2.6901961746978675,10,13637,23,1422,15842
numentaWithoutSpatial,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.4769535064697267,2.462559010315718,5,13512,2,1582,15851
numentaWithoutSpatial,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.4769535064697267,0.2274785441284295,6,13554,10,1582,15902
numentaWithoutSpatial,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.4769535064697267,0.49641176131223785,1,3021,4,402,4032
numentaWithoutSpatial,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.4769535064697267,0.7475153267253387,1,1154,1,152,1538
numentaWithoutSpatial,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.4769535064697267,0.9557243133869362,5,3085,0,338,4032
