Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
spatial,reward_low_FN_rate,realTweets/Twitter_volume_CVS.csv,0.5,-3.14148173955816,4,13576,1,1522,15853
spatial,reward_low_FN_rate,realTweets/Twitter_volume_IBM.csv,0.5,1.721366728320388,4,13553,0,1586,15893
spatial,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,0.5,0.8465378402835625,4,3084,1,339,4032
spatial,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,0.5,-8.0,0,19677,0,2268,22695
spatial,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,0.5,0.5873675172029076,6,13564,0,1582,15902
spatial,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.5,0.0,0,3428,0,0,4032
spatial,reward_low_FN_rate,realTraffic/TravelTime_387.csv,0.5,-3.135981330785282,1,1876,0,248,2500
spatial,reward_low_FN_rate,realTweets/Twitter_volume_KO.csv,0.5,-0.27907436405089525,2,13514,0,1585,15851
spatial,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,0.5,1.715956134991235,2,3026,0,400,4032
spatial,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,0.5,-0.276424440497927,4,13559,0,1589,15902
spatial,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,0.5,-2.0,0,1218,0,163,1624
spatial,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.5,0.8606718242697022,2,3025,0,401,4032
spatial,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,0.5,0.8606718242697022,3,3025,0,400,4032
spatial,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,0.5,1.7360251845026102,3,1875,0,247,2500
spatial,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,0.5,0.6405419933241817,1,3546,2,472,4730
spatial,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,0.5,0.6664336662533512,1,15800,1,1498,18050
spatial,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,0.5,-1.3185998592730217,1,5789,2,725,7267
spatial,reward_low_FN_rate,realTraffic/occupancy_6005.csv,0.5,0.8612724903753929,1,1784,0,238,2380
spatial,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.5,1.612569846650011,2,3546,1,472,4730
spatial,reward_low_FN_rate,realTweets/Twitter_volume_FB.csv,0.5,1.7204822217234075,2,13501,0,1580,15833
spatial,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.5,-2.0,0,3025,0,403,4032
spatial,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,0.5,0.8606718242697022,2,3025,0,401,4032
spatial,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,0.5,0.0,0,3428,0,0,4032
spatial,reward_low_FN_rate,realTweets/Twitter_volume_GOOG.csv,0.5,-3.04796749124617,2,13660,0,1430,15842
spatial,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,0.5,1.7231016041511955,3,3026,0,399,4032
spatial,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,0.5,-2.0,0,3025,0,403,4032
spatial,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,0.5,1.618243306042216,3,1218,1,159,1624
spatial,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,0.5,-2.0,0,3025,0,403,4032
spatial,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,0.5,-3.1375963557887907,1,3023,0,404,4032
spatial,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,0.5,-4.11,0,1409,1,190,1882
spatial,reward_low_FN_rate,realTweets/Twitter_volume_UPS.csv,0.5,1.3753642667803745,11,13530,1,1574,15866
spatial,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,0.5,0.6047103626849761,4,1233,0,160,1643
spatial,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,0.5,-4.0,0,931,0,126,1243
spatial,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,0.5,1.7058690538429593,5,3079,3,341,4032
spatial,reward_low_FN_rate,realTraffic/TravelTime_451.csv,0.5,-2.0,0,1621,0,217,2162
spatial,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,0.5,-1.937048340914565,1,3026,0,401,4032
spatial,reward_low_FN_rate,realTraffic/speed_7578.csv,0.5,0.41595519821267013,3,840,2,113,1127
spatial,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,0.5,0.0,0,3428,0,0,4032
spatial,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,0.5,-2.0,0,3025,0,403,4032
spatial,reward_low_FN_rate,realTweets/Twitter_volume_PFE.csv,0.5,-8.0,0,13520,0,1588,15858
spatial,reward_low_FN_rate,realTraffic/speed_t4013.csv,0.5,1.7360251845026102,4,1871,0,246,2495
spatial,reward_low_FN_rate,realTraffic/speed_6005.csv,0.5,0.7326220017559383,2,1885,1,237,2500
spatial,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,0.5,0.862098587352162,1,1155,0,152,1538
spatial,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,0.5,-7.18463091219571,1,8535,0,1034,10320
spatial,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,0.5,-0.3847444784492047,3,3022,1,402,4032
spatial,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,0.5,0.0,0,3428,0,0,4032
spatial,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.5,-0.2758619285869559,2,3463,0,463,4621
spatial,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,0.5,-0.26774230357584816,2,1232,0,163,1643
spatial,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,0.5,-2.0,0,3025,0,403,4032
spatial,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,0.5,-2.250848627602479,4,13501,0,1576,15831
spatial,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,0.5,-4.11,0,4034,1,530,5315
spatial,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,0.5,-1.1384491979244022,1,3026,0,401,4032
spatial,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,0.5,-1.1384491979244022,1,3026,0,401,4032
spatial,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,0.5,-2.0,0,3025,0,403,4032
spatial,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,0.5,-1.1384491979244022,1,3026,0,401,4032
spatial,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,0.5,-0.2667689928816275,2,1155,0,151,1538
spatial,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.5,0.0,0,3428,0,0,4032
spatial,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,0.5,0.0,0,3428,0,0,4032
Totals,,,,-49.07556009741859,102,299328,19,33393,365558
